id;value;sensor;timestamp;uploaded
1;1.6;PM10;2017-02-21 22:44:18.488728;1
2;1.5;PM25;2017-02-21 22:44:18.489511;1
3;1.7;PM10;2017-02-21 22:56:55.095778;1
4;1.4;PM25;2017-02-21 22:56:55.095891;1
5;2.4;PM10;2017-02-21 22:57:56.096010;1
6;1.5;PM25;2017-02-21 22:57:56.096117;1
7;2.2;PM10;2017-02-21 22:58:57.115996;1
8;1.5;PM25;2017-02-21 22:58:57.116103;1
9;2.2;PM10;2017-02-21 22:59:58.144806;1
10;1.5;PM25;2017-02-21 22:59:58.144921;1
11;1.4;PM10;2017-02-21 23:01:12.243549;1
12;1.3;PM25;2017-02-21 23:01:12.243663;1
13;1.4;PM10;2017-02-21 23:02:13.344795;1
14;1.3;PM25;2017-02-21 23:02:13.344904;1
15;3.6;PM10;2017-02-21 23:03:52.798463;1
16;1.4;PM25;2017-02-21 23:03:52.798600;1
17;1.5;PM10;2017-02-21 23:07:39.710355;1
18;1.4;PM25;2017-02-21 23:07:39.710463;1
19;1.9;PM10;2017-02-21 23:08:02.444489;1
20;1.4;PM25;2017-02-21 23:08:02.444595;1
21;2.2;PM10;2017-02-21 23:08:25.161240;1
22;1.4;PM25;2017-02-21 23:08:25.161344;1
23;2.1;PM10;2017-02-21 23:08:47.867907;1
24;1.4;PM25;2017-02-21 23:08:47.868012;1
25;2.1;PM10;2017-02-21 23:09:10.429119;1
26;1.4;PM25;2017-02-21 23:09:10.429250;1
27;2.0;PM10;2017-02-21 23:09:33.502777;1
28;1.4;PM25;2017-02-21 23:09:33.502893;1
29;1.9;PM10;2017-02-21 23:09:56.258675;1
30;1.4;PM25;2017-02-21 23:09:56.258779;1
31;1.9;PM10;2017-02-21 23:10:18.907828;1
32;1.3;PM25;2017-02-21 23:10:18.907939;1
33;1.7;PM10;2017-02-21 23:10:41.447993;1
34;1.4;PM25;2017-02-21 23:10:41.448116;1
35;1.5;PM10;2017-02-21 23:11:04.680902;1
36;1.4;PM25;2017-02-21 23:11:04.681031;1
37;1.5;PM10;2017-02-21 23:11:27.240673;1
38;1.4;PM25;2017-02-21 23:11:27.240780;1
39;1.3;PM10;2017-02-21 23:11:49.850824;1
40;1.3;PM25;2017-02-21 23:11:49.850970;1
41;1.3;PM10;2017-02-21 23:12:13.589611;1
42;1.3;PM25;2017-02-21 23:12:13.589715;1
43;1.3;PM10;2017-02-21 23:12:36.397011;1
44;1.3;PM25;2017-02-21 23:12:36.397132;1
45;1.3;PM10;2017-02-21 23:12:59.015034;1
46;1.3;PM25;2017-02-21 23:12:59.015136;1
47;1.3;PM10;2017-02-21 23:13:21.734343;1
48;1.3;PM25;2017-02-21 23:13:21.734445;1
49;1.4;PM10;2017-02-21 23:13:44.464648;1
50;1.3;PM25;2017-02-21 23:13:44.464754;1
51;1.4;PM10;2017-02-21 23:14:07.102902;1
52;1.3;PM25;2017-02-21 23:14:07.103005;1
53;1.4;PM10;2017-02-21 23:14:29.790825;1
54;1.3;PM25;2017-02-21 23:14:29.790943;1
55;1.4;PM10;2017-02-21 23:14:52.647091;1
56;1.3;PM25;2017-02-21 23:14:52.647196;1
57;1.4;PM10;2017-02-21 23:15:15.260096;1
58;1.3;PM25;2017-02-21 23:15:15.260202;1
59;1.4;PM10;2017-02-21 23:15:38.003488;1
60;1.3;PM25;2017-02-21 23:15:38.003607;1
61;1.5;PM10;2017-02-21 23:16:00.674194;1
62;1.3;PM25;2017-02-21 23:16:00.674316;1
63;2.0;PM10;2017-02-21 23:16:23.341236;1
64;1.3;PM25;2017-02-21 23:16:23.341340;1
65;2.4;PM10;2017-02-21 23:16:46.045869;1
66;1.3;PM25;2017-02-21 23:16:46.045972;1
67;2.4;PM10;2017-02-21 23:17:08.693885;1
68;1.3;PM25;2017-02-21 23:17:08.693988;1
69;2.4;PM10;2017-02-21 23:17:31.356870;1
70;1.3;PM25;2017-02-21 23:17:31.356998;1
71;2.4;PM10;2017-02-21 23:17:54.365152;1
72;1.3;PM25;2017-02-21 23:17:54.365257;1
73;2.4;PM10;2017-02-21 23:18:16.950651;1
74;1.3;PM25;2017-02-21 23:18:16.950771;1
75;2.4;PM10;2017-02-21 23:18:39.535331;1
76;1.3;PM25;2017-02-21 23:18:39.535435;1
77;1.9;PM10;2017-02-21 23:19:02.242316;1
78;1.3;PM25;2017-02-21 23:19:02.242421;1
79;1.9;PM10;2017-02-21 23:19:24.859873;1
80;1.3;PM25;2017-02-21 23:19:24.859993;1
81;1.4;PM10;2017-02-21 23:19:47.447068;1
82;1.3;PM25;2017-02-21 23:19:47.447177;1
83;1.5;PM10;2017-02-21 23:20:10.160083;1
84;1.3;PM25;2017-02-21 23:20:10.160189;1
85;1.6;PM10;2017-02-21 23:20:32.930298;1
86;1.3;PM25;2017-02-21 23:20:32.930432;1
87;1.6;PM10;2017-02-21 23:20:55.560873;1
88;1.3;PM25;2017-02-21 23:20:55.560994;1
89;1.6;PM10;2017-02-21 23:21:18.505072;1
90;1.3;PM25;2017-02-21 23:21:18.505177;1
91;1.6;PM10;2017-02-21 23:21:41.111742;1
